ID_Foto;ID_Ponto;Arquivo;Caminho
F058;T2P001;P001_F058;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F059;T2P002;P002_F059;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F060;T2P002;P002_F060;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F061;T2P002;P002_F061;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F062;T2P002;P002_F062;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F063;T2P002;P002_F063;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F064;T2P003;P003_F064;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F065;T2P003;P003_F065;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F066;T2P003;P003_F066;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F067;T2P003;P003_F067;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F068;T2P004;P004_F068;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F069;T2P004;P004_F069;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F070;T2P005;P005_F070;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F071;T2P005;P005_F071;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F072;T2P006;P006_F072;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F073;T2P006;P006_F073;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F074;T2P006;P006_F074;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F075;T2P007;P007_F075;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F076;T2P008;P008_F076;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F077;T2P008;P008_F077;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F078;T2P009;P009_F078;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F079;T2P009;P009_F079;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F080;T2P010;P010_F080;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F081;T2P011;P011_F081;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F082;T2P011;P011_F082;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F083;T2P011;P011_F083;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F084;T2P011;P011_F084;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F085;T2P012;P012_F085;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F086;T2P012;P012_F086;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F087;T2P013;P013_F087;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F088;T2P013;P013_F088;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F089;T2P013;P013_F089;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F090;T2P014;P014_F090;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F091;T2P015;P015_F091;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
F092;T2P015;P015_F092;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_02
