ID_Ponto;ID_Trilhas;UTM;Tipo;Declividade;Solo;Condicoes_da_Trilha;Sinais_de_Erosao;Obstaculos_e_Riscos;Nivel_de_Perigo;Escala_de_Perigo
T3P001;T03;23K 653671 7459629;Passagem;Baixa;Arenoso;Aproximadamento 2 metros de largura com raízes e blocos no solo;;;Muito Baixo;1
T3P002;T03;23K 653616 7459815;Declive;Baixa;Arenoso;Aproximadamente 2 metro de largura com muitos blocos expostos no solo irregular , no corte de estrada na lateral esquerda da trilha as àrvores estão com as raízes expostas;;;Baixo;2
T3P003;T03;23K 653641 7460019;Declive;Baixa;Misto (Arenoso/argiloso);Aproximadamente 2 metros de largura com uma área de declive na direita da trilha;Erosão laminar evoluindo para sulco;;Baixo;2
T3P004;T03;23K 653598 7460122;Erosão;Baixa;Misto (Arenoso/argiloso);Aproximadamente 2 metros de largura com mjuitos blosos expostos no piso irregular;Erosão laminar evoluindo para sulco;;Baixo;2
T3P005;T03;23K 653519 7460180;Erosão;Alta;Arenoso;Aproximadamente 1.5 metros de largura com muitos blocos expostos no solo escorregadio e irregular, este trecho foi dividido em dois caminhos diferentes devido a erosão laminar que evoluiu para sulco até formar um caminho alternativo;Erosão em sulco;risco de escorregamento;Alto;4
T3P006;T03;23K 653470 7460239;Erosão;Alta;Arenoso;Aproximadamente 4.9 metros de largura, muitos galhos e blocos soltos no solo irregular. Do lado direito há uma área de declive com galhos soltos e risco de deslizamento, do lado esquerdo há muitas árvores com raízes expostas sujeito a queda dos troncos.;Erosão em sulco;Risco de queda das árvores com raízes expostas para dentro da trilha;Médio;3
T3P007;T03;23K 653373 7460268;Erosão;Média;Arenoso;Aproximadamente 1.70 metros de largura com presença de muitos blocos expostos no solo irregular e uma área de declive com alguns troncos soltos no solo;Erosão em sulco no piso irregular;;Médio;3
T3P008;T03;23K 653251 7460302;Declive;Baixa;Arenoso;Aproximadamentre 70cm de largura com uma área de declive a direita;;Risco de queda devido a largura da trilha e área de declive na lateral;Alto;4
T3P009;T03;23K 653070 7460456;Drenagem;Baixa;Arenoso;Aproximadamennte 1 metro de largura com muitos galhos expostos no solo formando degraus naturais, na direita se encontra um percurso de água ;Erosão laminar;;Baixo;2
T3P010;T03;23K 653005 7460481;Erosão;Alta;Misto (Arenoso/argiloso);Aproximadamente 1.60 metros de largura com muitos blocos expostos no solo irregular;Erosão em sulco formando uma trilha alternativa;;Médio;3
T3P011;T03;23K 652824 7460511;Erosão;Alta;Arenoso;Aproximadamente 1.8 metros de largura, solo escorregadio em alta declividade;Erosão em sulco formando uma trilha alternativa;Risco de escorregamento devido a declividade acentuada e solo escorregadio;Alto;4
T3P012;T03;23K 652692 7460551;Erosão;Média;Arenoso;Aproximadamente 2 metros de largura com raízes expostas no solo irregular com uma área de declive do lado esquerdo da trilha;Erosão em sulco;;Médio;3
T3P013;T03;23K 652566 7460634;Declive;Alta;Argiloso;Aproximadamente 1.30 metros de largura com solo irregular. Marcas de sodas de moto na direita e na esquerda possui uma área de declive;Erosão em sulco;Risco de escorregamento;Médio;3
T3P014;T03;23K 652566 7460707;Declive;Alta;Argiloso;Aproximadamente 3 metros de largura com solo irregular em área de curva, do lado direito possui uma área de declive com galhos soltos ;Erosão em silco se formando em cima das marcas de passagem de motos como nos demais pontos da trilha;;Médio;3
T3P015;T03;23K 652572 7460817;Declive;Alta;Misto (Arenoso/argiloso);Aproximadamente 1.9 metros de largura e solo irregular com raízes expostas. No lado direito se observa uma área de declive;Erosão laminar evoluindo para sulcos devido a constante passagem de motos na trilha;;Médio;3
T3P016;T03;23K 652470 7460902;Erosão;Alta;Argiloso;Aproximadamentre 1.5 metros de largura com 40cm de profundidade com presença de  blocos e raízes no solo e área de declive na esquerda da trilha;Erosão laminar;;Baixo;2
T3P017;T03;23K 652358 7460967;Declive;Baixa;Arenoso;Aproximadamente 1.1 metros de largura com uma área de ddeclive do lado esquerdo da trilha;;Risco de queda para a área de declive ;Médio;3
T3P018;T03;23K 652283 7460945;Mata Fechada;Muito Alta;Arenoso;Aproximadamente 1 metro de largura com galhos, folhagem e raízes no solo escorregadio com alta declividade. A trilha não possui uma forma muito bem delimitada neste trecho tendo que passar por uma casa para chegar ao outro lado;;Risco de escorregamento e queda devido ao lsolo escorregadio em alta declividade;Muito Alto;5
T3P019;T03;23K 652176 7460901;Declive;Alta;Arenoso;Aproximadamente 70cm de largura com muitos galhos soltos no solo irregular e escorregadio com uma área de declive a esquerda;;Alto risco de queda pois a trilha é muito estreita do lado de uma área de declive muito instável;Muito Alto;5
T3P020;T03;23K 652113 7460761;Obstaculo;Média;Arenoso;Aproximadamente 2 metros de largura com presença de galhos e troncos soltos, este foi o último ponto non caminho alternativo;;Possui um tronco caido no meio da trilha impossibilitando a passagem e alto risco de queda pois a área de declive muito instável;Muito Alto;5
